date,breakfast,lunch,dinner
16-Mar-17,10,10,90
17-Mar-17,7,-15,75
18-Mar-17,15,120,15
19-Mar-17,-8,-15,75
20-Mar-17,,15,75
21-Mar-17,5,15,-30
22-Mar-17,0,-15,0
24-Mar-17,15,30,75
25-Mar-17,10,-15,15
26-Mar-17,5,30,150
27-Mar-17,10,15,75
28-Mar-17,15,30,15
29-Mar-17,10,null,-30
30-Mar-17,10,15,15
31-Mar-17,-10,30,15
01-Apr-17,10,30,30
02-Apr-17,-10,0,0
03-Apr-17,10,-75,30
04-Apr-17,5,30,15
05-Apr-17,20,15,15
06-Apr-17,-15,-20,-10
07-Apr-17,05,15,10
08-Apr-17,10,25,25
09-Apr-17,05,25,10
10-Apr-17,15,10,75
11-Apr-17,-20,15,-30
12-Apr-17,0,-15,0
12-Apr-17,15,30,75
14-Apr-17,10,50,15
15-Apr-17,5,30,150
16-Apr-17,10,15,75
17-Apr-17,15,30,15
18-Apr-17,10,20,-30
19-Apr-17,10,15,15

